id;rus_name;eng_name;obsolete
1;ПАО АКБ «АВАНГАРД»;avangard;
2;АО КБ «АГРОПРОМКРЕДИТ»;agropromcredit;
3;«Азиатско-Тихоокеанский Банк» (ПАО);atb;
4;ПАО «АК БАРС» БАНК;;
5;АО «Банк Акцепт»;;
6;ООО КБ «Альба Альянс»;;
7;ООО КБ «АРЕСБАНК»;ares_bank;
8;АО «БайкалИнвестБанк»;;
9;Банк «ВБРР» (АО);;
10;ПАО «Витабанк»;;
11;ООО КБ «ВНЕШФИНБАНК»;vneshfinbank;
12;ПАО «МИнБанк»;minbank;
13;ПАО КБ «Восточный»;;
14;АКБ «Инвестторгбанк» (ПАО);investtorgbank;
15;Банк ВТБ (ПАО);vtb;
16;АО «ГЕНБАНК»;genbank;
17;Банк Глобус (АО);globus_bank;
18;АО «Гознак»;;
19;Банк ГПБ (АО);gazprombank;
20;ООО КБ «ГТ банк»;gaztransbank;
21;АО «ГУТА-БАНК»;;
22;ООО МИБ «ДАЛЕНА»;dalena;
23;АКБ «Держава» ПАО;;
24;Джей энд Ти Банк (АО);j&t_bank;
25;ПАО «Донкомбанк»;donkombank;
26;АО АИКБ «Енисейский объединенный банк»;;
27;«Банк Кремлевский» ООО;;
28;АККСБ «КС БАНК» (ПАО);ks_bank;
29;КБ «Кубань Кредит» ООО;;
30;ПАО Банк «Кузнецкий»;;
31;АКБ «Ланта-Банк» (АО);lanta_bank;
32;«Банк «МБА-МОСКВА» ООО;;
33;АО «МБ Банк»;;
34;ООО КБ «Мегаполис»;;
35;ООО КБ «Металлург»;metallurgbank;
36;ПАО «МЕТКОМБАНК»;;
37;КБ «МКБ» (ПАО);;
38;БАНК «МНХБ» ПАО;;
39;АО БАНК «МОСКВА-СИТИ»;moscow_city_bank;
40;АО «МОСКОМБАНК»;;
41;АО Банк «Национальный стандарт»;ns_bank;
42;АО «НДБанк»;nd_bank;
43;ООО КБ «НЕВАСТРОЙИНВЕСТ»;;
44;АО «Нефтепромбанк»;;
45;КБ «НМБ» ООО;;
46;АО АКБ «НОВИКОМБАНК»;;
47;АО НОКССБАНК;;
48;МБО «ОРГБАНК» (ООО);orgbank;
49;ПАО Банк «ФК Открытие»;;
50;ООО «Первый Клиентский Банк»;;
51;АКБ «ПЕРЕСВЕТ» (ПАО);;
52;ПАО «Промсвязьбанк»;;
53;ООО РНКО «РИБ»;ribank;
54;РНКБ Банк (ПАО);;
55;ПАО АРКБ «Росбизнесбанк»;;
56;ПАО «РосДорБанк»;;
57;АО «РОСКОСМОСБАНК»;roscosmosbank;
58;АО «Россельхозбанк»;rshb;
59;АО АКБ «ЦентроКредит»;;
60;АО «АБ «РОССИЯ»;russia;
61;АО «РУНА-БАНК»;;
62;АО КБ «РУСНАРБАНК»;;
63;АО «РФИ БАНК»;;
64;ООО Банк «Саратов»;;
65;ПАО Сбербанк;sberbank;
66;ПАО «БАНК СГБ»;;
67;«СДМ-Банк» (ПАО);sdmbank;
68;АО «Севастопольский Морской банк»;;
69;ПАО КБ «Сельмашбанк»;;
70;Банк «СЕРВИС РЕЗЕРВ» (АО);;
71;АО РНКО «Синергия»;;
72;АКБ «СЛАВИЯ» (АО);;
73;ООО КБ «Славянский кредит»;slavcred;
74;АО «СМП Банк»;;
75;АО БАНК «СНГБ»;;
76;АО «Солид Банк»;;
77;Банк СОЮЗ (АО);;
78;ООО КБ «Столичный Кредит»;;
79;АО «Тольяттихимбанк»;;
80;ТКБ БАНК ПАО;;
81;АКБ «Трансстройбанк» (АО);tsbank;
82;АО «УРАЛПРОМБАНК»;;
83;ПАО «БАНК УРАЛСИБ»;uralsib;
84;АКБ «ФОРА-БАНК» (АО);;
85;АО КБ «ФорБанк»;;
86;АКБ «Форштадт» (АО);;
87;ООО «Хакасский муниципальный банк»;;
88;ПАО КБ «Центр-инвест»;centrinvest;
89;ООО «Чайна Констракшн Банк»;;
90;ПАО «ЧЕЛИНДБАНК»;chelindbank;
91;ПАО «ЧЕЛЯБИНВЕСТБАНК»;;
92;ЭКСИ-Банк (АО);exibank;
93;КБ «ЭНЕРГОТРАНСБАНК» (АО);energotransbank;
94;ОАО «ЮГ-Инвестбанк»;;
